Grupo,Hora,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
3,03:46:54,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:46:58,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:47:10,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:56:33,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:56:37,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:56:41,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,03:56:52,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:06:52,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:06:56,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:07:00,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:07:12,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:16:50,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:16:53,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:16:56,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:17:07,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:25:16,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:25:20,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:25:24,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:25:34,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:35:36,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:35:40,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:35:44,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:35:56,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:45:56,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:46:00,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:46:04,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:46:16,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:56:17,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:56:21,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:56:25,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,04:56:37,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:06:27,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:06:31,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:06:34,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:06:46,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:16:31,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:16:35,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:16:39,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:16:50,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:26:18,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:26:21,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:26:25,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:26:36,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:35:57,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:36:01,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:36:05,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:36:17,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:45:05,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:45:08,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:45:12,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:45:23,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:54:37,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:54:38,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:54:39,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,05:54:41,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:04:03,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:04:07,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:04:10,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:04:22,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:13:49,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:13:52,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:13:56,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:14:07,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:23:35,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:23:38,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:23:41,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:23:49,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:32:47,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:32:51,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:32:54,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:33:06,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:43:13,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:43:17,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:43:21,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:43:32,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:53:26,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:53:30,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:53:33,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,06:53:44,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:03:41,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:03:45,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:03:49,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:04:00,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:13:55,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:13:58,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:14:02,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:14:14,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:24:18,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:24:22,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:24:26,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:24:37,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:34:03,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:34:07,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:34:11,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:34:22,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:44:11,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:44:15,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:44:19,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:44:31,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:54:01,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:54:04,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:54:07,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,07:54:17,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:02:05,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:02:08,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:02:12,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:02:22,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:09:22,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:09:25,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:09:28,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:09:39,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:16:50,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:16:51,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,08:16:52,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
