Grupo,Hora,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
2,00:07:50,0105,000023.909,000035.984,00000987.0,000228.389,00540,00021
2,00:07:53,0106,000023.270,000048.832,00000988.0,000219.598,00000,00000
2,00:08:26,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:08:29,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:17:59,0105,000024.129,000035.653,00000987.0,000228.389,00573,00026
2,00:18:03,0106,000023.190,000049.116,00000988.0,000219.598,00000,00000
2,00:18:37,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:18:40,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:27:42,0105,0000024.79,000035.662,00000987.0,000228.389,00576,00026
2,00:27:45,0106,000023.159,000049.113,00000988.0,000219.598,00000,00000
2,00:28:20,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:28:24,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:36:21,0105,000023.959,000035.876,00000987.0,000228.389,00556,00023
2,00:36:24,0106,000023.159,0000049.44,00000988.0,000219.598,00000,00000
2,00:36:57,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:37:01,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:45:55,0105,000024.110,000035.614,00000987.0,000228.389,00540,00021
2,00:45:58,0106,000023.129,000049.110,00000988.0,000219.598,00000,00000
2,00:46:35,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:46:38,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:55:35,0105,000023.969,000035.889,00000987.0,000228.389,00423,00003
2,00:55:37,0106,000023.229,000048.940,00000988.0,000219.598,00000,00000
2,00:56:08,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,00:56:11,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:04:50,0105,000023.979,000035.778,00000987.0,000228.389,00419,00002
2,01:04:53,0106,000023.239,000048.828,00000988.0,000219.598,00000,00000
2,01:05:25,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:05:28,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:14:10,0105,000023.969,000035.790,00000987.0,000228.389,00416,00002
2,01:14:13,0106,000023.149,000048.987,00000989.0,000210.815,00000,00000
2,01:14:44,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:14:48,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:22:54,0105,0000024.40,000035.546,00000987.0,000228.389,00402,00000
2,01:22:57,0106,000023.190,000048.753,00000989.0,000210.815,00000,00000
2,01:23:28,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:23:32,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:31:51,0105,000023.889,000035.684,00000987.0,000228.389,00405,00000
2,01:31:54,0106,000023.239,000048.476,00000989.0,000210.815,00000,00000
2,01:32:27,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:32:30,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:40:44,0105,000024.110,000035.204,00000987.0,000228.389,00400,00000
2,01:40:48,0106,000023.190,000048.415,00000989.0,000210.815,00000,00000
2,01:41:26,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:41:30,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:50:57,0105,0000024.90,000035.140,00000987.0,000228.389,00403,00000
2,01:51:00,0106,000023.149,000048.366,00000989.0,000210.815,00000,00000
2,01:51:38,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,01:51:42,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:00:26,0105,000023.969,0000035.31,00000987.0,000228.389,00406,00000
2,02:00:29,0106,000023.239,000047.708,00000989.0,000210.815,00000,00000
2,02:01:00,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:01:04,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:09:16,0105,000023.899,000034.976,00000987.0,000228.389,00407,00001
2,02:09:19,0106,000023.260,000047.416,00000989.0,000210.815,00000,00000
2,02:09:55,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:09:58,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:18:59,0105,000023.950,000034.917,00000988.0,000219.598,00403,00000
2,02:19:02,0106,000023.250,000047.416,00000989.0,000210.815,00000,00000
2,02:19:37,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:19:41,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:28:40,0105,0000024.79,000034.579,00000988.0,000219.598,00406,00001
2,02:28:43,0106,000023.219,000047.388,00000989.0,000210.815,00000,00000
2,02:29:19,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:29:23,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:38:31,0105,000023.969,000034.570,00000988.0,000219.598,00421,00003
2,02:38:35,0106,000023.209,000047.185,00000989.0,000210.815,00000,00000
2,02:39:11,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:39:14,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:48:35,0105,000023.860,000034.650,00000988.0,000219.598,00436,00005
2,02:48:38,0106,000023.329,000046.734,00000989.0,000210.815,00000,00000
2,02:49:15,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:49:19,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:58:27,0105,000023.969,000034.521,00000988.0,000219.598,00455,00008
2,02:58:30,0106,000023.309,000046.731,00000989.0,000210.815,00000,00000
2,02:59:07,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,02:59:10,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:08:35,0105,000024.100,000033.996,00000988.0,000219.598,00443,00006
2,03:08:38,0106,000023.170,000046.716,00000989.0,000210.815,00000,00000
2,03:09:16,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:09:20,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:18:47,0105,000023.940,0000034.46,00000988.0,000219.598,00415,00002
2,03:18:50,0106,000023.139,000046.589,00000990.0,0000202.40,00000,00000
2,03:19:25,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:19:28,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:28:54,0105,000023.940,000033.972,00000988.0,000219.598,00400,00000
2,03:28:57,0106,000023.209,000046.302,00000990.0,0000202.40,00000,00000
2,03:29:32,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:29:36,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:38:26,0105,00000024.0,000033.790,00000988.0,000219.598,00403,00000
2,03:38:29,0106,000023.149,000046.285,00000990.0,0000202.40,00000,00000
2,03:39:05,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:39:08,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:48:11,0105,000023.979,000033.799,00000989.0,000210.815,00414,00002
2,03:48:15,0106,000023.209,0000046.31,00000990.0,0000202.40,00000,00000
2,03:48:50,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:48:53,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:58:11,0105,000024.110,000033.473,00000989.0,000210.815,00409,00001
2,03:58:15,0106,000023.280,000045.709,00000990.0,0000202.40,00000,00000
2,03:58:52,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,03:58:56,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:08:09,0105,000023.889,000033.544,00000989.0,000210.815,00413,00001
2,04:08:12,0106,000023.159,000045.687,00000990.0,0000202.40,00000,00000
2,04:08:49,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:08:52,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:18:18,0105,000023.899,000033.235,00000989.0,000210.815,00420,00003
2,04:18:22,0106,000023.239,000045.105,00000990.0,0000202.40,00000,00000
2,04:18:59,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:19:03,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:28:35,0105,000023.889,000033.247,00000989.0,000210.815,00417,00002
2,04:28:38,0106,000023.149,000045.187,00000990.0,0000202.40,00000,00000
2,04:29:15,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:29:19,0111,0000000000,0000000000,0000000000,0000000000,00000,00000
2,04:38:48,0105,000023.850,000033.168,00000989.0,000210.815,00404,00000
2,04:38:52,0106,000023.170,000044.928,00000990.0,0000202.40,00000,00000
2,04:39:29,0110,0000000000,0000000000,0000000000,0000000000,00000,00000
